Sample,Period,RC,QR,CS,EP,WC,Average
133,2018 - I,1.6667,2.0000,3.0000,1.7778,1.2500,1.9389
134,2018 - I,2.6667,1.6667,2.6667,1.4444,1.2500,1.9389
135,2018 - I,2.0000,2.3333,2.3333,1.7778,1.2500,1.9389
136,2018 - I,2.3333,2.0000,2.6667,2.7778,0.0000,1.9556
137,2018 - I,2.0000,2.0000,3.0000,2.7778,0.0000,1.9556
138,2018 - I,2.6667,3.3333,2.3333,1.4444,0.0000,1.9556
139,2018 - I,2.3333,2.3333,2.0000,1.8889,1.2500,1.9611
140,2018 - I,2.3333,2.3333,2.0000,1.8889,1.2500,1.9611
141,2018 - I,2.3333,2.6667,1.6667,1.8889,1.2500,1.9611
142,2018 - I,2.3333,2.6667,2.0000,1.5556,1.2500,1.9611
143,2018 - I,2.6667,2.6667,1.3333,1.8889,1.2500,1.9611
144,2018 - I,2.6667,2.0000,3.0000,0.8889,1.2500,1.9611
145,2018 - I,3.0000,2.3333,3.0000,1.5556,0.0000,1.9778
146,2018 - I,2.0000,2.0000,2.6667,2.0000,1.2500,1.9833
147,2018 - I,2.6667,2.6667,2.0000,1.3333,1.2500,1.9833
148,2018 - I,2.6667,3.0000,1.6667,1.3333,1.2500,1.9833
149,2018 - I,3.0000,3.0000,1.3333,1.3333,1.2500,1.9833
150,2018 - I,2.0000,2.6667,1.3333,2.6667,1.2500,1.9833
151,2018 - I,2.0000,1.6667,3.0000,2.0000,1.2500,1.9833
152,2018 - I,1.6667,3.0000,2.6667,1.3333,1.2500,1.9833
153,2018 - I,2.3333,2.6667,2.3333,1.4444,1.2500,2.0056
154,2018 - I,2.6667,2.3333,2.6667,1.1111,1.2500,2.0056
155,2018 - I,2.3333,2.6667,2.6667,1.1111,1.2500,2.0056
156,2018 - I,1.6667,2.0000,3.3333,1.7778,1.2500,2.0056
157,2018 - I,3.0000,2.3333,2.3333,1.1111,1.2500,2.0056
158,2018 - I,3.0000,3.0000,1.3333,1.4444,1.2500,2.0056
159,2018 - I,2.0000,3.6667,0.6667,2.4444,1.2500,2.0056
160,2018 - I,1.6667,2.3333,2.0000,1.5556,2.5000,2.0111
161,2018 - I,2.3333,2.3333,1.3333,1.5556,2.5000,2.0111
162,2018 - I,2.3333,2.6667,2.0000,1.8889,1.2500,2.0278
163,2018 - I,2.0000,2.6667,2.3333,1.8889,1.2500,2.0278
164,2018 - I,2.3333,2.3333,2.6667,1.5556,1.2500,2.0278
165,2018 - I,2.6667,2.3333,2.3333,1.5556,1.2500,2.0278
166,2018 - I,3.0000,2.0000,1.6667,2.2222,1.2500,2.0278
167,2018 - I,2.3333,1.6667,3.0000,1.8889,1.2500,2.0278
168,2018 - I,2.3333,2.3333,1.3333,2.8889,1.2500,2.0278
169,2018 - I,2.6667,3.3333,1.3333,1.5556,1.2500,2.0278
170,2018 - I,2.6667,2.0000,2.3333,2.0000,1.2500,2.0500
171,2018 - I,2.0000,2.3333,2.6667,2.0000,1.2500,2.0500
172,2018 - I,2.6667,2.6667,2.0000,1.6667,1.2500,2.0500
173,2018 - I,2.0000,3.3333,1.6667,2.0000,1.2500,2.0500
174,2018 - I,3.0000,3.3333,1.0000,1.6667,1.2500,2.0500
175,2018 - I,2.3333,2.0000,2.3333,2.3333,1.2500,2.0500
176,2018 - I,2.6667,2.0000,2.3333,2.1111,1.2500,2.0722
177,2018 - I,2.3333,2.6667,2.3333,1.7778,1.2500,2.0722
178,2018 - I,2.0000,2.6667,2.6667,1.7778,1.2500,2.0722
179,2018 - I,1.6667,2.6667,2.6667,2.1111,1.2500,2.0722
180,2018 - I,2.3333,2.6667,2.6667,1.4444,1.2500,2.0722
181,2018 - I,2.6667,1.6667,3.0000,1.7778,1.2500,2.0722
182,2018 - I,1.6667,2.6667,2.6667,2.2222,1.2500,2.0944
183,2018 - I,2.6667,2.6667,2.3333,1.5556,1.2500,2.0944
184,2018 - I,1.3333,2.6667,2.6667,2.5556,1.2500,2.0944
185,2018 - I,2.6667,2.3333,2.3333,1.8889,1.2500,2.0944
186,2018 - I,2.0000,3.0000,2.3333,1.8889,1.2500,2.0944
187,2018 - I,3.0000,2.3333,2.3333,1.5556,1.2500,2.0944
188,2018 - I,3.3333,2.0000,1.6667,2.2222,1.2500,2.0944
189,2018 - I,2.3333,2.3333,2.0000,1.3333,2.5000,2.1000
190,2018 - I,2.3333,3.6667,1.0000,1.0000,2.5000,2.1000
191,2018 - I,2.0000,3.0000,2.6667,1.6667,1.2500,2.1167
192,2018 - I,2.3333,2.3333,2.3333,2.3333,1.2500,2.1167
193,2018 - I,2.3333,2.6667,2.0000,2.3333,1.2500,2.1167
194,2018 - I,2.3333,2.0000,2.6667,2.3333,1.2500,2.1167
195,2018 - I,2.6667,2.3333,2.3333,2.0000,1.2500,2.1167
196,2018 - I,2.0000,3.0000,1.6667,2.6667,1.2500,2.1167
197,2018 - I,1.3333,2.6667,3.0000,2.3333,1.2500,2.1167
198,2018 - I,2.3333,2.0000,3.3333,1.6667,1.2500,2.1167
199,2018 - I,3.3333,2.6667,0.6667,1.4444,2.5000,2.1222
200,2018 - I,2.6667,2.3333,2.6667,1.7778,1.2500,2.1389
201,2018 - I,1.3333,2.6667,2.6667,2.7778,1.2500,2.1389
202,2018 - I,3.0000,2.0000,2.0000,2.4444,1.2500,2.1389
203,2018 - I,3.3333,2.0000,2.0000,2.1111,1.2500,2.1389
204,2018 - I,1.6667,3.0000,3.0000,1.7778,1.2500,2.1389
205,2018 - I,2.3333,3.0000,2.3333,1.7778,1.2500,2.1389
206,2018 - I,1.6667,2.3333,2.3333,1.8889,2.5000,2.1444
207,2018 - I,2.6667,2.0000,3.0000,1.8889,1.2500,2.1611
208,2018 - I,2.0000,2.6667,3.0000,1.8889,1.2500,2.1611
209,2018 - I,1.6667,3.0000,2.0000,2.8889,1.2500,2.1611
210,2018 - I,3.0000,3.0000,2.6667,0.8889,1.2500,2.1611
211,2018 - I,2.3333,2.6667,2.3333,2.2222,1.2500,2.1611
212,2018 - I,2.0000,2.3333,3.0000,2.2222,1.2500,2.1611
213,2018 - I,2.3333,2.3333,2.0000,1.6667,2.5000,2.1667
214,2018 - I,1.3333,1.6667,3.0000,1.1111,3.7500,2.1722
215,2018 - I,1.3333,2.3333,1.0000,2.4444,3.7500,2.1722
216,2018 - I,2.0000,2.6667,2.0000,3.0000,1.2500,2.1833
217,2018 - I,2.6667,2.6667,2.6667,1.6667,1.2500,2.1833
218,2018 - I,3.0000,2.0000,3.0000,1.6667,1.2500,2.1833
219,2018 - I,1.3333,2.6667,3.0000,2.6667,1.2500,2.1833
220,2018 - I,2.6667,3.0000,2.6667,1.3333,1.2500,2.1833
221,2018 - I,3.0000,2.6667,2.6667,1.3333,1.2500,2.1833
222,2018 - I,3.6667,3.0000,1.3333,1.6667,1.2500,2.1833
223,2018 - I,2.3333,3.0000,2.0000,2.3333,1.2500,2.1833
224,2018 - I,2.3333,3.0000,2.3333,2.0000,1.2500,2.1833
225,2018 - I,2.3333,2.0000,3.3333,2.0000,1.2500,2.1833
226,2018 - I,3.0000,3.3333,2.0000,1.3333,1.2500,2.1833
227,2018 - I,2.6667,2.0000,1.6667,2.1111,2.5000,2.1889
228,2018 - I,2.6667,2.6667,1.6667,1.4444,2.5000,2.1889
229,2018 - I,2.0000,2.6667,2.6667,2.4444,1.2500,2.2056
230,2018 - I,3.0000,2.0000,2.6667,2.1111,1.2500,2.2056
231,2018 - I,3.0000,2.0000,2.6667,2.1111,1.2500,2.2056
232,2018 - I,2.0000,2.6667,3.0000,2.1111,1.2500,2.2056
233,2018 - I,2.3333,2.3333,2.3333,2.7778,1.2500,2.2056
234,2018 - I,2.3333,2.0000,2.3333,3.1111,1.2500,2.2056
235,2018 - I,2.6667,3.3333,2.3333,1.4444,1.2500,2.2056
236,2018 - I,2.6667,2.0000,2.6667,2.5556,1.2500,2.2278
237,2018 - I,2.6667,2.6667,2.3333,2.2222,1.2500,2.2278
238,2018 - I,2.3333,3.0000,2.3333,2.2222,1.2500,2.2278
239,2018 - I,2.6667,2.3333,2.0000,2.8889,1.2500,2.2278
240,2018 - I,3.0000,2.3333,2.0000,2.5556,1.2500,2.2278
241,2018 - I,3.0000,2.6667,2.3333,1.8889,1.2500,2.2278
242,2018 - I,1.6667,3.3333,2.3333,2.5556,1.2500,2.2278
243,2018 - I,2.6667,3.3333,2.3333,1.5556,1.2500,2.2278
244,2018 - I,3.0000,3.0000,2.6667,1.2222,1.2500,2.2278
245,2018 - I,2.6667,2.6667,2.3333,1.0000,2.5000,2.2333
246,2018 - I,2.3333,2.6667,2.3333,2.6667,1.2500,2.2500
247,2018 - I,2.6667,2.3333,3.0000,2.0000,1.2500,2.2500
248,2018 - I,2.3333,2.6667,3.0000,2.0000,1.2500,2.2500
249,2018 - I,2.3333,3.0000,2.0000,2.6667,1.2500,2.2500
250,2018 - I,3.3333,2.3333,2.6667,1.6667,1.2500,2.2500
251,2018 - I,2.6667,2.3333,3.3333,1.6667,1.2500,2.2500
252,2018 - I,3.0000,1.3333,2.6667,3.0000,1.2500,2.2500
253,2018 - I,3.3333,2.6667,3.0000,1.0000,1.2500,2.2500
254,2018 - I,4.0000,2.0000,1.6667,2.3333,1.2500,2.2500
255,2018 - I,2.3333,3.0000,2.3333,2.3333,1.2500,2.2500
256,2018 - I,2.0000,3.3333,2.3333,2.3333,1.2500,2.2500
257,2018 - I,2.3333,2.6667,2.0000,1.7778,2.5000,2.2556
258,2018 - I,2.0000,2.6667,2.3333,1.7778,2.5000,2.2556
